State,District,Block,Tap water connection Coverage,Reporting by Implementing Departments (Reporting rate),Certification by Gram Sabhas (Certification Rate),Reporting to Coverage Ratio,Certification to Coverage Ratio,Certification to Reporting Ratio,Year,Updated_Name
Karnataka,Shivamogga,Shikarpur,95.06035442,49.02191593,17.63547641,51.56925432,18.5518732,35.97467802,2023,Shivamogga
Karnataka,Shivamogga,Shivamogga,80.70536489,25.21639126,7.731573956,31.245,9.58,30.66090574,2023,Shivamogga
Karnataka,Shivamogga,Soraba,81.54955189,30.99320258,10.97761614,38.00536221,13.46128322,35.41943145,2023,Shivamogga
Karnataka,Shivamogga,Tirthahalli,80.05352219,6.963291345,0,8.698294783,0,0,2023,Shivamogga
Karnataka,Tumakuru,CHIKNAYAKANHALLI,63.13673727,0.80398392,0.28199436,1.273401121,0.446640692,35.07462687,2023,Tumakuru
Karnataka,Tumakuru,GUBBI,43.23764427,1.129032258,0,2.611225188,0,0,2023,Tumakuru
Karnataka,Tumakuru,KORATAGERE,55.86452205,0.738238518,0,1.321480058,0,0,2023,Tumakuru
Karnataka,Tumakuru,KUNIGAL,62.32779423,0.48431537,0.325158729,0.777045579,0.521691378,67.13780919,2023,Tumakuru
Karnataka,Tumakuru,MADHUGIRI,33.68636225,0.156126768,0.156126768,0.463471738,0.463471738,100,2023,Tumakuru
Karnataka,Tumakuru,PAVAGADA,71.20036325,0,0,0,0,0,2023,Tumakuru
Karnataka,Tumakuru,SIRA,44.76631083,0.008173808,0,0.018258837,0,0,2023,Tumakuru
